experimental_axis,settings_exercised,status,location
Pilot / TF (structure),"11 configs: egr1 1aay, engrailed 3hdd, ets1 1k79, foxa 1vtn, lef1 2lef, tbp 1tgh, csl 3brg, err 1lo1, nfat 1a66, runx 1hjc; dux4 5z6z (excluded, dimer)","RUN — 10 in benchmark, dux4 excluded",config/pilots/*.sh; output/stage7_eval/
Model arm,"baseline (crystal only) vs augmented (crystal + ensemble) — always paired, same seed",RUN — every pilot,"output/stage6_train/{baseline,augmented}_*"
DNA treatment (Stage 3 min),"FROZEN DNA (default: DNA backbone held at k=10) vs DNA-RELAX (soft tether k=1.5, released at ramp stage 5)","RUN — frozen: all; dnarelax data for 6 (egr1/engrailed/ets1/foxa/lef1/tbp), trained for 2 (lef1,tbp), evaluated for 1 (tbp)","config/pilots/*_dnarelax.sh; output/stage3_min_dnarelax/, stage4_npz_dnarelax/, stage5_aug_dnarelax/"
Metal coordination cage (Stage 3),"CAGE ON (default: sidechain-pair harmonic restraints, k=20) vs CAGE OFF (--ignore-metals, ""legacy"" pre-patch behaviour)","RUN (in predecessor tree) — metal-cage A/B (cage-on vs --ignore-metals 'legacy') executed for dux4/egr1/tbp, 5 seeds each, in TF_conf_init_outputs/old_results (May 2026). NOT re-run in the current TF-conformation tree.","TF_conf_init_outputs/old_results/{augmented_legacy_*, id_benchmark_*_legacy_ab.json}; scripts/pipeline/run_legacy_ab.sh"
Training seeds,single-seed vs 5 paired seeds (s1–s5),RUN — multiseed(5) for 6 pilots (egr1/engrailed/ets1/foxa/lef1/tbp); single-seed for csl/err/nfat/runx,output/stage6_train/*_s{1..5}; scripts/pipeline/run_multiseed_pilot.sh
Cross-val fold,FOLD=0 only,RUN — fold 0 exclusively (all pilot configs set FOLD=0),config/pilots/*.sh
Stage 2 alignment mode,interface (production default) · all/global (baseline) · per_domain (multidomain diagnostic),RUN — interface for all production docking. all / per_domain = CAPABILITY (STAGE2_ALIGN_MODE passthrough; no batch output),stage2_redock/stage2_redock.py --align-mode; docs/PIPELINE_FIXES.md B5/B6
fnat gate floor,"FNAT_FLOOR=0.5 (default, all pilots)",RUN — 0.5 everywhere; not varied per-pilot,lib/common.sh; fnat_gate/
DeepPBS feature set (eval),full prot_shape (used) · shape-only · groove/base-readout · dnaseqInfo (prot_shape_ag),CAPABILITY ONLY — 4 pred_configs exist; main benchmark used full deeppbs only (no shape/groove/dnaseq benchmark JSONs found),stage7_eval/pred_configs/*.json
AF3 vs BioEmu ensemble,"AlphaFold3 predictions, 2 seeds × 5 samples per TF, for 6 pilots",RUN — diversity comparison (not fed to training),af3/output/<tf>_<pdb>/
Stage-3 DNA-relax smoke test,A=frozen · C=dna_k=0 (fully free) · D=tether+late-release — outputs on disk. B=dna_k=10 defined in script but NO output file present (not kept).,RUN — A/C/D only (validation/parameter selection); B produced no saved output,stage3_minimize/validation/smoke_results/
"Predecessor tree (old_results, May 2026)",Metal-cage A/B (cage-on vs --ignore-metals legacy) for dux4/egr1/tbp ×5 seeds; wt1 pilot (WT1 C2H2 ZF); earlier per-family analysis,"RUN — separate May-2026 tree, superseded by current TF-conformation/output",TF_conf_init_outputs/old_results/
